RestaurantID,Restaurant Name,Address,Time,District,Time Open,Time Close,Lowest Price,Highest Price
3459,Tiệm Trà Dreams - Trương Thị Hoa,"370 Trương Thị Hoa, P. Tân Thới Hiệp, Quận 12, TP. HCM",08:30 - 21:30,Quận 12,08:30,21:30,20000.0,50000.0
3460,Đạt Nut Milk - Sữa Hạt - Cù Chính Lan,"7 Cù Chính Lan, P. 13, Tân Bình, TP. HCM",06:00 - 17:00,Tân Bình,06:00,17:00,20000.0,50000.0
3461,Tiệm Tháng Ba - Bánh Tráng Trộn & Trà Sữa,"Khu Ẩm Thực Vinhomes Cầu Vòng 5, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3462,Bánh Đúc Nóng Ngõ Hội Vũ - Hoa Huệ,"3 Hoa Huệ, P. 7, Phú Nhuận, TP. HCM",08:30 - 21:59,Phú Nhuận,08:30,21:59,20000.0,50000.0
3463,Gỏi Cuốn Mạ Tôi - Võ Văn Tần,"221/19 Võ Văn Tần, P. 5, Quận 3, TP. HCM",00:00 - 23:59,Quận 3,00:00,23:59,20000.0,50000.0
3464,Đạt Vy - Bánh Tráng Muối Tây Ninh,"200 Phạm Văn Chiêu, P. 9, Gò Vấp, TP. HCM",08:30 - 20:00,Gò Vấp,08:30,20:00,10000.0,150000.0
3465,Đạt Nut Milk - Sữa Hạt - Thảo Điền,"30 Đường 59, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3466,Trái Cây Cắt Sẵn FRUITS - Võ Văn Tần,"221/19 Võ Văn Tần, P. 5, Quận 3, TP. HCM",00:00 - 23:59,Quận 3,00:00,23:59,20000.0,50000.0
3467,Ốc Liên - Lê Văn Lương,"39 Lê Văn Lương, P. Tân Kiểng, Quận 7, TP. HCM",00:00 - 23:59,Quận 7,00:00,23:59,13000.0,100000.0
3468,Salmon Sushi - Đường Số 17,"95/7b Đường Số 17, P. Tân Thuận Tây, Quận 7, TP. HCM",00:00 - 23:59,Quận 7,00:00,23:59,20000.0,50000.0
3469,Boba2o Âu Cơ Premium Takeaway - Trà Sữa Hạt Sen - Âu Cơ,"423/10 Âu Cơ, P. Phú Trung, Tân Phú, TP. HCM",00:00 - 23:59,Tân Phú,00:00,23:59,20000.0,50000.0
3470,Tiệm Trà - Pé Gạo,"300/34/17 Nguyễn Văn Linh, P. Bình Thuận, Quận 7, TP. HCM",00:00 - 23:59,Quận 7,00:00,23:59,20000.0,50000.0
3471,Lê Tuấn - Cơm Gà Xối Mỡ - Hương Lộ 2,"621/5C Hương Lộ 2, P. Bình Trị Đông, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,20000.0,50000.0
3472,Tiệm Trái Bơ - Sinh Tố Nước Ép & Bánh Tráng Ăn Vặt,"155/10 Đường Số 1, P. Bình Hưng Hoà A, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,20000.0,50000.0
3473,DAILY COFFEE - Trà Chanh Giã Tay & Cà Phê Muối - Tân Bình,"44 Bàu Cát 2, P. 14, Tân Bình, TP. HCM",08:30 - 22:00,Tân Bình,08:30,22:00,20000.0,50000.0
3475,Bún Thái Nhà Kem - Nam Long Q7,"672/1 Huỳnh Tấn Phát, P. Tân Phú, Quận 7, TP. HCM",00:00 - 23:59,Quận 7,00:00,23:59,20000.0,50000.0
3476,Ô Kê Quán - Lẩu Gà Lá É Gốc Phú Yên,"164 Nguyễn Văn Lượng, P. 17, Gò Vấp, TP. HCM",00:00 - 23:59,Gò Vấp,00:00,23:59,60000.0,320000.0
3477,Nem Nướng & Chả Lụi 14B - Đường 11,"47 Đường 11, P. Phước Bình, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,Thành Phố Thủ Đức,00:00,23:59,20000.0,50000.0
3478,Thiên Ân - Bún Riêu Cua Đồng Sóc Trăng - Trương Phước Phan,"16B Trương Phước Phan, P. Bình Trị Đông, Bình Tân, TP. HCM",00:00 - 23:59,Bình Tân,00:00,23:59,20000.0,50000.0
3479,"Mơi Trà - Trà Long Nhãn, Nước Dừa Hawaii & Trà Đào Dầm - Phường 4 Quận 8","72B Đường Tám Danh, P. 4, Quận 8, TP. HCM",00:00 - 23:59,Quận 8,00:00,23:59,20000.0,50000.0
3480,MIU'S TAKE AWAY - Đường Số 14A,"28NH Đường 14A, P. Tân Thuận Tây, Quận 7, TP. HCM",09:00 - 23:00,Quận 7,09:00,23:00,20000.0,50000.0
3481,Gỏi Cuốn Chị Nù - Gỏi Cuốn - Chánh Hưng,"6/3A Chánh Hưng, P. 4, Quận 8, TP. HCM",09:00 - 18:00,Quận 8,09:00,18:00,20000.0,50000.0
3482,"Ăn Vặt Gà Mái 911 - Ăn Vặt, Nước Ép & Bánh Tráng Trộn","911/10/57 Quang Trung, P. 14, Gò Vấp, TP. HCM",00:00 - 23:59,Gò Vấp,00:00,23:59,20000.0,130000.0
